run_name,cassette_name,region_name,panel_name,panel_design_id,predesigned_panel_id,region_area,total_cell_area,total_high_quality_decoded_transcripts,fraction_transcripts_decoded_q20,fraction_predesigned_transcripts_decoded_q20,fraction_custom_transcripts_decoded_q20,nuclear_transcripts_per_100um2,decoded_transcripts_per_100um2,adjusted_negative_control_probe_rate,adjusted_negative_control_codeword_rate,adjusted_genomic_control_probe_rate,negative_control_probe_counts_per_control_per_cell,genomic_control_probe_counts_per_control_per_cell,estimated_number_of_false_positive_transcripts_per_cell,estimated_number_of_false_positive_transcripts_per_cell_including_genomic_counts,num_cells_detected,fraction_empty_cells,cells_per_100um2,fraction_transcripts_assigned,median_genes_per_cell,median_predesigned_genes_per_cell,median_custom_genes_per_cell,median_transcripts_per_cell,median_predesigned_transcripts_per_cell,median_custom_transcripts_per_cell,thickness_transcripts_high_quality,stain_definition,segmented_cell_stain_frac,segmented_cell_boundary_frac,segmented_cell_interior_frac,segmented_cell_nuc_expansion_frac,segmented_cell_boundary_count,segmented_cell_interior_count,segmented_cell_nuc_expansion_count
EXP-01913-01914_012026,EXP-01913,CP08944-001-015,hColon_785g,JAVCTQ,ZBB4M9,14026848.77,5923215.249,144274683,0.8117945365,0.8089532382,0.8140015532,2245.361611,2252.395032,0.0003471855585,0.0005469793294,0.0002862609433,0.0003200715454,0.0002616831437,0.5025123263,0.4108425357,84981,0.0001647427072,0.6058452712,0.9247236121,355,162,192,1530,667,862,9.836187678,xenium_cell_segmentation_stains_v2,0.9073439945,0.6567350349,0.2506089596,0.09265600546,55810,21297,7874
EXP-01913-01914_01-23-2026,EXP-01913,TIS10546-002-002-032,mMulti_480g,MNANMQ,,14567694.21,7450972.306,43148038,0.8322126818,,,553.5729305,555.2812211,0.0004472710533,0.0005375832918,,0.0001801846398,,0.08648862708,,202015,2.48E-05,1.386732842,0.9588813749,71,,,189,,,4.604643004,xenium_cell_segmentation_stains_v1,0.9943321041,0.1314605351,0.8628715689,0.005667895948,26557,174313,1145
EXP-01913-01914_012026,EXP-01913,TIS11578-001-003,hColon_785g,JAVCTQ,ZBB4M9,49733305.47,14900069.41,58072205,0.9033435743,0.9036191912,0.9031456557,462.304231,331.3468256,0.001828110528,9.52E-05,0.001815941845,0.0002435606947,0.0002557431458,0.3823902907,0.4015167389,175213,0.00207747142,0.3523051572,0.8501641534,104,50,54,209,90,117,9.423205896,xenium_cell_segmentation_stains_v2,0.9628052713,0.2791744905,0.6836307808,0.0371947287,48915,119781,6517
EXP-01913-01914_012026,EXP-01913,TIS11578-003-003,hColon_785g,JAVCTQ,ZBB4M9,82688483.12,24340550.57,154062134,0.9086586253,0.9088654182,0.9085137669,565.0646461,513.7802066,0.001434698535,0.0001872143447,0.001514559413,0.0002736392493,0.0003006092307,0.4296136214,0.4719564921,392853,0.002102567627,0.4751000202,0.8117304866,109,53,56,224,95,125,8.601399315,xenium_cell_segmentation_stains_v2,0.9760215653,0.375909055,0.6001125103,0.02397843468,147677,235756,9420
EXP-01913-01914_01-23-2026,EXP-01913,TMA00319,mMulti_480g,MNANMQ,,6338621.105,180796.6003,495939,0.8344070355,,,274.7441974,234.9374929,0.01123581919,0.0005052739163,,0.00354017502,,1.69928401,,2514,0.01789976134,0.0396616229,0.8564742841,32,,,55,,,7.28702831,xenium_cell_segmentation_stains_v1,0.9188544153,0.0600636436,0.8587907717,0.08114558473,151,2159,204
EXP-01913-01914_012026,EXP-01914,CP08944-001-016,hColon_785g,JAVCTQ,ZBB4M9,10970084.26,4982863.086,109370425,0.8338700186,0.8318242786,0.8354717692,2028.078801,2068.174305,0.0003015044854,0.0004166076138,0.0003237060341,0.0002512970169,0.0002678621779,0.3945363165,0.4205436192,70932,0.0001127840749,0.6465948513,0.942250101,343,157,185,1439,630,807,8.873237993,xenium_cell_segmentation_stains_v2,0.9371510743,0.733463035,0.2036880392,0.06284892573,52026,14448,4458
EXP-01913-01914_01-23-2026,EXP-01914,TIS10546-002-002-030,mMulti_480g,TV46KD,,15018787.45,8060326.57,55850374,0.7151450588,,,706.1416176,681.4708253,0.001773487984,0.002397889616,,0.0008667599676,,0.4160447845,,223649,0.0001162535938,1.489128205,0.9834987676,92,,,231,,,8.224256852,xenium_cell_segmentation_stains_v1,0.9924658729,0.008808445376,0.9836574275,0.007534127137,1970,219994,1685
EXP-01913-01914_01-23-2026,EXP-01914,TIS10758-001-001,mMulti_480g,TV46KD,,25955602.84,6624138.308,23417791,0.8694811975,,,347.9967917,314.881031,0.008877666208,0.000368928654,,0.00338798847,,1.626234466,,105815,0.002060199405,0.4076769114,0.8906969492,55,,,120,,,8.878510828,xenium_cell_segmentation_stains_v1,0.9666304399,0.3420214525,0.6246089874,0.03336956008,36191,66093,3531
EXP-01913-01914_012026,EXP-01914,TIS11578-005-003,hColon_785g,JAVCTQ,ZBB4M9,39291861.23,2710514.978,9058364,0.8943798414,0.8956505717,0.8930132749,394.2219729,287.5522572,0.005840938188,9.88E-05,0.00614564925,0.0004380765861,0.0005239739559,0.6877802402,0.8226391108,38806,0.03929804669,0.0987634558,0.8604364982,70,35,35,112,58,52,9.351680007,xenium_cell_segmentation_stains_v2,0.8899654693,0.3030716899,0.5868937793,0.1100345307,11761,22775,4270
EXP-01913-01914_012026,EXP-01914,TIS11578-007-003,hColon_785g,JAVCTQ,ZBB4M9,84931658.76,32107008.2,158035988,0.8641914285,0.8647840427,0.8637228251,493.0172179,406.1189233,0.002016176918,0.0001646492835,0.002184019691,0.0003338148147,0.0003584159636,0.524089259,0.5627130629,499154,0.003802433718,0.5877125294,0.8250819174,116,56,60,203,93,108,9.371426594,xenium_cell_segmentation_stains_v2,0.9673387371,0.1653978532,0.801940884,0.03266126286,82559,400292,16303
EXP-01913-01914_01-23-2026,EXP-01914,TMA10758-001,mMulti_480g,TV46KD,,84401267.09,22416055.74,116817428,0.8703037004,,,509.8330345,448.7536262,0.002368557633,0.0004754786981,,0.001240699051,,0.5955355444,,378456,0.001091276132,0.4484008512,0.8611117769,70,,,207,,,5.428890361,xenium_cell_segmentation_stains_v1,0.9850260004,0.4247389393,0.5602870611,0.01497399962,160745,212044,5667
EXP-01915-01916_01-14-2026,EXP-01915,TIS10546-002-002-028,mMulti_480g,TV46KD,,15348170.46,8163483.995,55734287,0.7005784978,,,691.4631861,668.8509959,0.001683008939,0.002444305219,,0.0008130514518,,0.3902646969,,225201,7.10E-05,1.467282375,0.9796760116,90,,,228,,,6.694636853,xenium_cell_segmentation_stains_v1,0.9930195692,0.04103001319,0.951989556,0.006980430815,9240,214389,1572
EXP-01915-01916_01-14-2026,EXP-01915,TIS10756-001-001,mMulti_480g,TV46KD,,26675282.15,9605253.343,58357634,0.8220773802,,,607.7112008,544.8035687,0.001401941455,0.001036113016,,0.0009840582562,,0.472347963,,147349,0.001418401211,0.5523802865,0.8967080982,77,,,259,,,7.836861368,xenium_cell_segmentation_stains_v1,0.9797351865,0.4016315007,0.5781036858,0.02026481347,59180,85183,2986
EXP-01915-01916_01-14-2026,EXP-01915,TMA10756-001,mMulti_480g,TV46KD,,94244176.12,30818048.51,176300391,0.8345236322,,,576.4643206,515.3001396,0.001087658682,0.0008260463903,,0.0006959353009,,0.3340489444,,476050,0.00238630396,0.5051240508,0.9007662779,77,,,245,,,8.503710549,xenium_cell_segmentation_stains_v1,0.9756223086,0.372759164,0.6028631446,0.02437769142,177452,286993,11605
EXP-01915-01916_01-14-2026,EXP-01916,TIS10546-002-002-029,mMulti_480g,TV46KD,,14488342.58,6271685.952,36025135,0.6760351749,,,588.1479736,563.2257142,0.001862771219,0.002636825803,,0.0007677711796,,0.3685301662,,170754,0.01950173934,1.178561309,0.9805306212,84,,,200,,,7.376169586,xenium_cell_segmentation_stains_v1,0.9888318868,0.02209611488,0.9667357719,0.01116811319,3773,165074,1907
EXP-01931-01932_012326,EXP-01931,CP08944-001-021,hColon_785g,JAVCTQ,ZBB4M9,14481194.39,5406438.661,124721702,0.7730972546,0.7691971212,0.7761016914,2243.739635,2136.496708,0.0008784457169,0.001320663347,0.0005884295615,0.0007317863625,0.0004969319851,1.148904589,0.7801832167,77140,0.0003500129634,0.5326908674,0.9261289908,332,152,180,1399,604,792,13.04672718,xenium_cell_segmentation_stains_v2,0.927793622,0.6710526316,0.2567409904,0.07220637801,51765,19805,5570
EXP-01931-01932_012326,EXP-01931,TIS11578-009-003,hColon_785g,JAVCTQ,ZBB4M9,87129355.88,5331946.65,24172553,0.8592960197,0.8618221704,0.8566089316,476.6679275,342.6028278,0.004714184897,0.0003217153968,0.005816056168,0.0003432877477,0.0004239597039,0.5389617639,0.6656167351,71660,0.02329053865,0.0822455294,0.7557083441,88,44,44,159,83,72,9.148103971,xenium_cell_segmentation_stains_v2,0.9015071169,0.3119034329,0.5896036841,0.09849288306,22351,42251,7058
EXP-01931-01932_012326,EXP-01931,TIS11578-011-003,hColon_785g,JAVCTQ,ZBB4M9,70287062.6,21553224.18,100729994,0.9000445233,0.8989982742,0.9007920216,439.8557649,367.4370496,0.003624621799,0.000110937986,0.002855356163,0.0004144692691,0.0003560548736,0.6507167525,0.5590061515,347191,0.004006440259,0.4939614591,0.786206053,80,39,41,153,65,84,7.985384566,xenium_cell_segmentation_stains_v2,0.9692042708,0.4367250303,0.5324792405,0.03079572915,151627,184872,10692
EXP-01931-01932_012326,EXP-01932,CP08944-001-022,hColon_785g,JAVCTQ,ZBB4M9,10573117.92,3458826.227,88095635,0.7666030607,0.7625169055,0.7696978618,2499.993877,2400.536585,0.000716699936,0.001176898281,0.0004650292673,0.000700662747,0.0004580561994,1.100040513,0.7191482331,48133,0.0001662061372,0.4552394133,0.942502872,370,171,199,1732,741,989,8.248207271,xenium_cell_segmentation_stains_v2,0.9597988906,0.7282114142,0.2315874764,0.04020110943,35051,11147,1935
EXP-01931-01932_012326,EXP-01932,TIS11578-013-003,hColon_785g,JAVCTQ,ZBB4M9,66351965.9,16577265.21,109254255,0.8412192222,0.8407015918,0.8416043349,655.8094546,456.9314483,0.0008451154343,0.0002868806321,0.0006147586256,0.0001830393344,0.0001382273655,0.2873717549,0.2170169639,170182,0.001310361848,0.2564837344,0.6933069838,139,67,71,361,162,195,7.704030521,xenium_cell_segmentation_stains_v2,0.9614824129,0.0497819981,0.9117004148,0.03851758705,8472,155155,6555
EXP-01931-01932_012326,EXP-01932,TIS11578-015-003,hColon_785g,JAVCTQ,ZBB4M9,78118847.32,20456513.3,108649032,0.8698704418,0.8699668925,0.8697967975,674.1695855,418.1375963,0.0009320712551,0.000163893582,0.001042067242,0.0001764841639,0.0002172112787,0.2770801374,0.3410217076,220983,0.002389324066,0.2828805181,0.7872722971,131,63,67,309,137,169,7.498933078,xenium_cell_segmentation_stains_v2,0.9750885815,0.1777150279,0.7973735536,0.02491141853,39272,176206,5505
EXP-01939-01940_1-30-2026,EXP-01939,TIS11578-017-003,hColon_785g,JAVCTQ,ZBB4M9,66728453.42,13885324.53,59551754,0.9043110663,0.9046173766,0.9040757842,428.1847309,327.0534721,0.001612963075,6.13E-05,0.001448784846,0.0002165247919,0.0002209234601,0.3399439233,0.3468498323,168341,0.004455242633,0.2522776887,0.7625709228,95,46,48,197,88,107,6.98010733,xenium_cell_segmentation_stains_v2,0.9827611812,0.2511925199,0.7315686612,0.01723881883,42286,123153,2902
EXP-01946-01947_013026,EXP-01946,TIS10543-004-001-002,mother_952g,YVWBTQ,ZEHF9H,79426046.7,41809446.74,425612195,0.6809624139,0.6817648265,0.6801126085,933.4159222,918.2556885,0.001468828702,0.001950753903,0.001489835015,0.0008665056949,0.000890826291,1.691419117,1.73889292,311856,8.98E-05,0.3926369409,0.9020362375,296,150,146,741,413,327,5.987569457,xenium_cell_segmentation_stains_v2,0.9946994767,0.3489495152,0.6457499615,0.005300523318,108822,201381,1653
EXP-01946-01947_013026,EXP-01946,TIS10546-002-002-039,mother_952g,YVWBTQ,ZEHF9H,10106706.87,4559239.781,23642416,0.7307987943,0.732500095,0.7279832238,504.0531927,507.542685,0.001022809279,0.001228903559,0.002102120644,7.78E-05,0.000162719153,0.1518112034,0.3176277867,143689,0.03149858375,1.421719278,0.9787531021,100,58,42,142,89,52,5.060385385,xenium_cell_segmentation_stains_v2,0.9846404387,0.01623645512,0.9684039836,0.01535956127,2333,139149,2207
EXP-01946-01947_013026,EXP-01946,TIS10680-002-001,mother_952g,YVWBTQ,ZEHF9H,78181764.78,40456415.84,221591052,0.8612979167,0.8632651611,0.8592867591,642.401371,504.158623,0.00384852704,0.0001448754796,0.003422210363,0.002275894856,0.002030423163,4.442546758,3.963386015,169329,0.000596471957,0.2165837526,0.9204546265,242,117,124,833,425,407,6.726413261,xenium_cell_segmentation_stains_v2,0.9907989771,0.6199528728,0.3708461043,0.009201022861,104976,62795,1558
EXP-01946-01947_013026,EXP-01947,TIS10544-004-001,mother_952g,YVWBTQ,ZEHF9H,86420173.27,44423133.03,416135142,0.6625720339,0.6661768211,0.6584882108,834.1992453,828.180639,0.001729714202,0.002068242014,0.001744154931,0.001135697566,0.001157506856,2.216881649,2.259453383,261029,0.0002030425738,0.3020463743,0.8840968951,304,153,150,800,452,347,5.782172425,xenium_cell_segmentation_stains_v2,0.996199656,0.3876427523,0.6085569036,0.003800344023,101186,158851,992
EXP-01946-01947_013026,EXP-01947,TIS10681-002-001,mother_952g,YVWBTQ,ZEHF9H,70294902.18,34624368.21,256647355,0.8498324409,0.8528243383,0.8466570407,804.5103393,689.1924887,0.003324689755,0.000207351549,0.002798579258,0.002719298863,0.002266919752,5.30807138,4.425027357,142169,0.001019912921,0.2022465294,0.9297915617,296,143,153,1159,602,556,6.537828968,xenium_cell_segmentation_stains_v2,0.9925651865,0.6432485282,0.3493166583,0.007434813497,91450,49662,1057
EXP-01952-01953_020526,EXP-01952,TIS10546-002-002-041,mMulti_480g,TV46KD,,13170875.84,7720144.838,57720320,0.7124874359,,,749.3195026,727.8297646,0.002019143717,0.002259642582,,0.001030656975,,0.4947153478,,216949,0.001949766996,1.647187345,0.9734788719,95,,,242,,,7.547738952,xenium_cell_segmentation_stains_v1,0.9884581169,0.0752665373,0.9131915796,0.01154188312,16329,198116,2504
EXP-01952-01953_020526,EXP-01952,TIS10762-001-001,mMulti_480g,TV46KD,,16639107.67,4881881.199,39800968,0.8476450639,,,794.9072873,731.1848966,0.003106826057,0.0005277053433,,0.002279591859,,1.094204092,,91047,0.0003295001483,0.5471867951,0.8968520062,90,,,310,,,7.119233967,xenium_cell_segmentation_stains_v1,0.9767702395,0.322317045,0.6544531945,0.02322976045,29346,59586,2115
EXP-01952-01953_020526,EXP-01952,TMA10762-001,mMulti_480g,TV46KD,,94175092.07,29061362.22,180461619,0.8721934951,,,624.0485976,542.0915779,0.002618344359,0.0004144535708,,0.001670501073,,0.8018405151,,453786,0.0006192346172,0.4818535242,0.8729789629,82,,,280,,,6.496008217,xenium_cell_segmentation_stains_v1,0.9813304068,0.3280026268,0.6533277801,0.01866959316,148843,296471,8472
EXP-01952-01953_020526,ExP-01953,TIS10546-002-002-040,mMulti_480g,TV46KD,,12292142.08,7109803.774,53789920,0.7182388954,,,766.351764,742.7826657,0.001959922275,0.00221115698,,0.001011443792,,0.4854930203,,202730,0.004286489419,1.649265024,0.9817897108,97,,,246,,,8.000536272,xenium_cell_segmentation_stains_v1,0.9902678439,0.01093572732,0.9793321166,0.00973215607,2217,198540,1973
EXP-01952-01953_020526,ExP-01953,TIS10763-001-001,mMulti_480g,TV46KD,,26249342.17,9000999.523,56411486,0.8706802544,,,609.3460602,553.8678774,0.003743203613,0.0005434994008,,0.002503388593,,1.201626525,,143865,0.0005560768776,0.5480708776,0.883749898,82,,,266,,,6.67627494,xenium_cell_segmentation_stains_v1,0.9775831509,0.3712577764,0.6063253745,0.02241684913,53411,87229,3225
EXP-01952-01953_020526,ExP-01953,TMA10763-001,mMulti_480g,TV46KD,,88593890.15,27610643.62,147335313,0.8623370887,,,540.3496261,472.1464294,0.003224604057,0.0004349149379,,0.001808838194,,0.868242333,,434229,0.002353596835,0.4901342511,0.8848025999,76,,,236,,,7.030470513,xenium_cell_segmentation_stains_v1,0.977744462,0.2792236355,0.6985208266,0.02225553798,121247,303318,9664
EXP-01954-01955_20260204,EXP-01954,TMA10764-001,mMulti_480g,TV46KD,,18485144.12,6268696.383,30797760,0.8747009647,,,489.5063216,431.7226318,0.04403293095,0.0004032989288,,0.02030992572,,9.748764345,,106219,0.0002636063228,0.5746181869,0.87874511,76,,,179,,,7.994930961,xenium_cell_segmentation_stains_v1,0.9738747305,0.2806654177,0.6932093128,0.02612526949,29812,73632,2775
EXP-01954-01955_20260204,EXP-01954,TMA10764-002,mMulti_480g,TV46KD,,103956997.9,29906467.56,130163709,0.8746321733,,,460.7173996,380.5705932,0.02466056145,0.0002888250714,,0.01164720337,,5.59065762,,454959,0.0005297180625,0.4376415337,0.8744005674,74,,,192,,,7.04075444,xenium_cell_segmentation_stains_v1,0.9779254834,0.398066639,0.5798588444,0.0220745166,181104,263812,10043
EXP-01954-01955_20260204,EXP-01955,TMA10765-001,mMulti_480g,TV46KD,,30330772.85,11040754.51,56637244,0.8696389272,,,494.2881705,455.5493736,0.005571316952,0.0004441713806,,0.003271229225,,1.570190028,,169554,0.0006900456492,0.5590164183,0.8880391143,72,,,230,,,6.666048155,xenium_cell_segmentation_stains_v1,0.9824185805,0.3817957701,0.6006228104,0.01758141949,64735,101838,2981
EXP-01954-01955_20260204,EXP-01955,TMA10765-002,mMulti_480g,TV46KD,,92612389.68,26906869.89,109908515,0.8501558654,,,430.63858,363.7903643,0.005332836393,0.0005809190986,,0.002488785508,,1.194617044,,402827,0.001961139646,0.4349601618,0.8906006964,65,,,185,,,7.817870594,xenium_cell_segmentation_stains_v1,0.9765929295,0.3383288608,0.6382640687,0.02340707053,136288,257110,9429
EXP-01967-01968_021226,EXP-01967,TIS10546-002-002-033,mother_952g,YVWBTQ,ZEHF9H,14903220.37,7645706.473,57522726,0.7294656527,0.731507008,0.7260092319,674.8925091,718.2990897,0.0007420504025,0.001193035898,0.001135404957,8.87E-05,0.0001370777474,0.1730644805,0.2675757628,221633,9.02E-06,1.487148378,0.9547363941,136,78,58,215,137,78,4.19965922,xenium_cell_segmentation_stains_v2,0.990123312,0.03058660037,0.9595367116,0.009876688038,6779,212665,2189
EXP-01967-01968_021226,EXP-01967,TMA00320,mother_952g,YVWBTQ,ZEHF9H,88924265.83,32331117.05,326665164,0.8295498424,0.8283809946,0.8309787259,908.4994991,937.7585176,0.001000181199,0.0002943216671,0.001703272483,0.0005550968561,0.000839167889,1.083549063,1.638055719,236175,0.001253307928,0.2655911722,0.9281302,346,166,179,950,536,412,4.049410846,xenium_cell_segmentation_stains_v2,0.9808362443,0.04436540701,0.9364708373,0.01916375569,10478,221171,4526
EXP-01967-01968_021226,EXP-01968,TIS10546-002-002-034,mother_952g,YVWBTQ,ZEHF9H,13604461.68,7659135.626,58662845,0.7484056486,0.7502101986,0.745364022,685.5799581,735.4886341,0.0007277940037,0.0008984103987,0.001069504902,8.82E-05,0.0001339830427,0.172187722,0.2615348993,219644,1.37E-05,1.614499751,0.9602683266,139,79,60,222,141,80,4.171901123,xenium_cell_segmentation_stains_v2,0.9915044344,0.003346324052,0.9881581104,0.008495565552,735,217043,1866
